Data,Ente,gg,mezzo,Km_auto,Km_mezzi,Km_bici,Km_piedi,alimentazione
2020/06/05 8:57:43 AM EET,ARPA Calabria,50,Auto/Moto/Scooter/Ciclomotore,18,0,0,0,Diesel
2020/06/05 8:58:34 AM EET,ARPA Calabria,43,Auto/Moto/Scooter/Ciclomotore,60,0,0,0,Diesel
2020/06/05 9:01:13 AM EET,ARPA Calabria,40,Auto/Moto/Scooter/Ciclomotore,11,0,0,0,Diesel
2020/06/05 9:01:45 AM EET,ARPA Calabria,40,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Diesel
2020/06/05 9:03:17 AM EET,ARPA Veneto,35,Auto/Moto/Scooter/Ciclomotore,8,0,0,0,Diesel
2020/06/05 9:04:24 AM EET,ARPA Calabria,35,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,GPL
2020/06/05 9:05:01 AM EET,ARPA Veneto,34,Auto/Moto/Scooter/Ciclomotore,10,0,0,0,Benzina
2020/06/05 9:05:36 AM EET,ARPAE Emilia-Romagna,0,Auto/Moto/Scooter/Ciclomotore,40,0,0,0,Ibrido
2020/06/05 9:05:59 AM EET,ARPA Veneto,30,Auto/Moto/Scooter/Ciclomotore,15,0,0,0,Metano
2020/06/05 9:06:09 AM EET,ARPA Veneto,81,Auto/Moto/Scooter/Ciclomotore,28,0,0,0,Benzina
2020/06/05 9:06:32 AM EET,ARPAE Emilia-Romagna,60,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:07:50 AM EET,ARPAE Emilia-Romagna,43,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Ibrido
2020/06/05 9:07:56 AM EET,ARPA Veneto,55,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:08:29 AM EET,ARPA Piemonte,4,Auto/Moto/Scooter/Ciclomotore,10,0,0,2,Diesel
2020/06/05 9:08:30 AM EET,ARPA Veneto,40,Bicicletta/monopattino,0,0,8,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:08:35 AM EET,ARPA Calabria,9,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Diesel
2020/06/05 9:08:36 AM EET,ARPA Veneto,92,Auto/Moto/Scooter/Ciclomotore,12,0,0,0,Benzina
2020/06/05 9:08:39 AM EET,ARPA Veneto,60,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 9:08:46 AM EET,ARPA Veneto,13,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:08:57 AM EET,ARPA Veneto,46,Auto/Moto/Scooter/Ciclomotore,62,0,0,0,Diesel
2020/06/05 9:08:58 AM EET,ARPA Veneto,50,Auto/Moto/Scooter/Ciclomotore,15,0,0,0,Metano
2020/06/05 9:09:06 AM EET,ARPAE Emilia-Romagna,61,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:09:16 AM EET,ARPA Veneto,45,Auto/Moto/Scooter/Ciclomotore,120,0,0,0,Diesel
2020/06/05 9:09:34 AM EET,ARPAE Emilia-Romagna,50,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Benzina
2020/06/05 9:09:34 AM EET,ARPA Umbria,12,Auto/Moto/Scooter/Ciclomotore,10,0,0,0,Benzina
2020/06/05 9:10:06 AM EET,ARPA Veneto,50,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Benzina
2020/06/05 9:10:29 AM EET,ARPA Veneto,0,Auto/Moto/Scooter/Ciclomotore,3,0,0,0,Benzina
2020/06/05 9:10:32 AM EET,ARPA Calabria,69,Auto/Moto/Scooter/Ciclomotore,44,0,0,0,Benzina
2020/06/05 9:10:48 AM EET,APPA Trento,46,Mezzi pubblici (autobus/tram/treno...),2,22,0,2,Diesel
2020/06/05 9:10:57 AM EET,ARPA Veneto,6,Bicicletta/monopattino,0,0,20,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:10:59 AM EET,ARPA Veneto,0,Auto/Moto/Scooter/Ciclomotore,8,0,0,0,Benzina
2020/06/05 9:11:10 AM EET,ARPAT Toscana,46,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 9:11:25 AM EET,ARPAE Emilia-Romagna,47,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:11:26 AM EET,ARPA Sardegna,40,A piedi,0,0,0,1,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:11:32 AM EET,ARPA Veneto,57,Auto/Moto/Scooter/Ciclomotore,100,0,0,0,GPL
2020/06/05 9:11:55 AM EET,ARPA Friuli Venezia-Giulia,55,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:11:56 AM EET,ARPA Veneto,19,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Diesel
2020/06/05 9:12:17 AM EET,ARPA Lombardia,41,Bicicletta/monopattino,,,,,
2020/06/05 9:12:32 AM EET,ARPAE Emilia-Romagna,90,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Benzina
2020/06/05 9:12:37 AM EET,ARPA Veneto,50,Auto/Moto/Scooter/Ciclomotore,6,0,0,0,Benzina
2020/06/05 9:12:40 AM EET,ARPAE Emilia-Romagna,50,Auto/Moto/Scooter/Ciclomotore,42,0,0,0,Metano
2020/06/05 9:12:47 AM EET,ARPAE Emilia-Romagna,44,Bicicletta/monopattino,0,0,4,5.8,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:12:51 AM EET,ARPA Calabria,50,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:13:05 AM EET,ARPAE Emilia-Romagna,45,Auto/Moto/Scooter/Ciclomotore,35,0,0,0,Diesel
2020/06/05 9:13:07 AM EET,ARPA Veneto,51,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Diesel
2020/06/05 9:13:08 AM EET,ARPA Lombardia,49,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Benzina
2020/06/05 9:13:15 AM EET,ARPAE Emilia-Romagna,50,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:13:23 AM EET,ARPAE Emilia-Romagna,28,Auto/Moto/Scooter/Ciclomotore,22,0,0,0,GPL
2020/06/05 9:13:42 AM EET,ARPA Veneto,50,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:13:43 AM EET,ARPAE Emilia-Romagna,70,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:14:10 AM EET,ARPA Veneto,35,Auto/Moto/Scooter/Ciclomotore,20,0,0,1,Diesel
2020/06/05 9:14:16 AM EET,ARPA Lombardia,53,Auto/Moto/Scooter/Ciclomotore,100,0,0,0,Diesel
2020/06/05 9:14:24 AM EET,ARPA Veneto,16,Auto/Moto/Scooter/Ciclomotore,10,0,0,0,Metano
2020/06/05 9:14:26 AM EET,ARPA Lazio,55,Auto/Moto/Scooter/Ciclomotore,36,0,0,0,Benzina
2020/06/05 9:14:33 AM EET,ARPA Calabria,60,Auto/Moto/Scooter/Ciclomotore,5,5,5,5,Diesel
2020/06/05 9:14:37 AM EET,ARPAE Emilia-Romagna,45,Auto/Moto/Scooter/Ciclomotore,34,0,0,0,Diesel
2020/06/05 9:14:40 AM EET,ARPAE Emilia-Romagna,40,Bicicletta/monopattino,0,0,5,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:14:48 AM EET,ARPA Friuli Venezia-Giulia,39,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:15:05 AM EET,ARPA Veneto,60,Auto/Moto/Scooter/Ciclomotore,17,0,0,0,Diesel
2020/06/05 9:15:08 AM EET,ARPA Veneto,60,Auto/Moto/Scooter/Ciclomotore,5,0,0,0,Benzina
2020/06/05 9:15:15 AM EET,ARTA Abruzzo,55,Auto/Moto/Scooter/Ciclomotore,24,0,0,0,Benzina
2020/06/05 9:15:22 AM EET,ARPAE Emilia-Romagna,40,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:15:47 AM EET,ARPA Puglia,10,Auto/Moto/Scooter/Ciclomotore,60,0,0,0,Diesel
2020/06/05 9:16:01 AM EET,ARPA Veneto,50,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 9:16:08 AM EET,ARPA Campania,24,Auto/Moto/Scooter/Ciclomotore,55,0,0,0.1,Diesel
2020/06/05 9:16:08 AM EET,ARPA Veneto,52,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Ibrido
2020/06/05 9:16:08 AM EET,ARPA Veneto,12,Auto/Moto/Scooter/Ciclomotore,80,0,0,0,Ibrido
2020/06/05 9:16:13 AM EET,ARPAE Emilia-Romagna,53,Auto/Moto/Scooter/Ciclomotore,40,0,0,0,Diesel
2020/06/05 9:16:16 AM EET,ARPA Veneto,44,Bicicletta/monopattino,0,0,10,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:16:18 AM EET,ARPAE Emilia-Romagna,35,Bicicletta/monopattino,0,0,6,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:16:23 AM EET,ARPA Veneto,33,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:16:29 AM EET,ARPA Piemonte,22,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Diesel
2020/06/05 9:16:30 AM EET,ARPAT Toscana,40,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:16:32 AM EET,ARPAE Emilia-Romagna,50,Bicicletta/monopattino,0,0,8,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:16:39 AM EET,ARPA Piemonte,33,Bicicletta/monopattino,0,0,6,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:16:44 AM EET,ARPAE Emilia-Romagna,50,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:16:50 AM EET,ARPA Friuli Venezia-Giulia,60,Auto/Moto/Scooter/Ciclomotore,118,0,0,0,Diesel
2020/06/05 9:17:16 AM EET,ARPA Piemonte,4,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:17:25 AM EET,ARPAE Emilia-Romagna,36,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:17:25 AM EET,ARTA Abruzzo,51,Auto/Moto/Scooter/Ciclomotore,40,0,0,0,GPL
2020/06/05 9:17:54 AM EET,ARPA Lombardia,60,Auto/Moto/Scooter/Ciclomotore,52,0,0,0,Diesel
2020/06/05 9:18:08 AM EET,ARPAE Emilia-Romagna,0,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 9:18:29 AM EET,ARPA Lombardia,50,A piedi,0,0,0,2,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:18:48 AM EET,ARPA Veneto,30,Auto/Moto/Scooter/Ciclomotore,50,0,0,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:18:50 AM EET,ARPA Lombardia,57,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:18:53 AM EET,ARPA Veneto,44,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:18:57 AM EET,ARPA Veneto,0,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Diesel
2020/06/05 9:19:00 AM EET,ISPRA,60,Auto/Moto/Scooter/Ciclomotore,23,0,0,0,Benzina
2020/06/05 9:19:03 AM EET,ARPA Lombardia,54,Auto/Moto/Scooter/Ciclomotore,13,0,0,0,Benzina
2020/06/05 9:19:09 AM EET,ARPA Lombardia,46,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:19:11 AM EET,ARPA Molise,22,Auto/Moto/Scooter/Ciclomotore,3,0,0,0,Diesel
2020/06/05 9:19:12 AM EET,ARPA Lombardia,18,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:19:12 AM EET,ISPRA,90,Auto/Moto/Scooter/Ciclomotore,140,0,0,20,Diesel
2020/06/05 9:19:27 AM EET,ARPAE Emilia-Romagna,20,Mezzi pubblici (autobus/tram/treno...),0,7,0,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:19:41 AM EET,ARPAE Emilia-Romagna,24,Auto/Moto/Scooter/Ciclomotore,62,0,2,0,Benzina
2020/06/05 9:19:42 AM EET,ARPA Lombardia,48,A piedi,0,0,0,2,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:19:56 AM EET,ARPA Veneto,6,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:20:01 AM EET,ARPA Veneto,40,Scooter o bicicletta o autobus,14,12,14,2,Benzina
2020/06/05 9:20:18 AM EET,ARPA Veneto,90,Auto/Moto/Scooter/Ciclomotore,15,0,0,0,GPL
2020/06/05 9:20:21 AM EET,ARPAE Emilia-Romagna,44,Bicicletta/monopattino,,,,,
2020/06/05 9:20:21 AM EET,ISPRA,50,Mezzi pubblici (autobus/tram/treno...),5,22,0,4,Benzina
2020/06/05 9:20:27 AM EET,ARPA Veneto,9,Auto/Moto/Scooter/Ciclomotore,80,0,0,0,Diesel
2020/06/05 9:20:32 AM EET,ARPA Umbria,14,Auto/Moto/Scooter/Ciclomotore,12,0,0,0,Benzina
2020/06/05 9:20:35 AM EET,ARPA Veneto,60,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:20:35 AM EET,ARPA Veneto,12,Auto/Moto/Scooter/Ciclomotore,160,0,0,2,GPL
2020/06/05 9:20:42 AM EET,ARPA Lombardia,60,Auto/Moto/Scooter/Ciclomotore,10,0,0,0,Benzina
2020/06/05 9:20:49 AM EET,ARPA Lombardia,49,Auto/Moto/Scooter/Ciclomotore,60,0,0,0,Diesel
2020/06/05 9:20:54 AM EET,ISPRA,60,Auto/Moto/Scooter/Ciclomotore,14,0,0,0,Diesel
2020/06/05 9:21:00 AM EET,ARPA Lombardia,58,Mezzi pubblici (autobus/tram/treno...),0,25,0,2,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:21:07 AM EET,ARPA Veneto,37,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:21:13 AM EET,ARPAE Emilia-Romagna,33,Auto/Moto/Scooter/Ciclomotore,12,0,0,0,Diesel
2020/06/05 9:21:14 AM EET,ARPA Veneto,44,Mezzi pubblici (autobus/tram/treno...),0,10,0,1,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:21:20 AM EET,ARPAT Toscana,46,Mezzi pubblici (autobus/tram/treno...),0,5,0,2,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:21:26 AM EET,ARPA Veneto,50,Auto/Moto/Scooter/Ciclomotore,40,0,0,0,GPL
2020/06/05 9:21:26 AM EET,ARPA Veneto,62,Auto/Moto/Scooter/Ciclomotore,82,0,0,0,Diesel
2020/06/05 9:21:30 AM EET,ARPA Veneto,41,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:21:33 AM EET,ARPA Piemonte,33,Mezzi pubblici (autobus/tram/treno...),0,60,0,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:21:38 AM EET,ARPA Veneto,38,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Benzina
2020/06/05 9:21:42 AM EET,ARPA Veneto,24,Auto/Moto/Scooter/Ciclomotore,7,0,0,0,Benzina
2020/06/05 9:21:44 AM EET,ISPRA,80,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 9:21:54 AM EET,ARPA Veneto,31,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Diesel
2020/06/05 9:22:03 AM EET,APPA Trento,42,Auto/Moto/Scooter/Ciclomotore,64,0,0,0,Diesel
2020/06/05 9:22:04 AM EET,ARPA Lombardia,63,Mezzi pubblici (autobus/tram/treno...),4,70,0,1.5,Benzina
2020/06/05 9:22:09 AM EET,ARPA Veneto,46,Auto/Moto/Scooter/Ciclomotore,14,0,0,0,Diesel
2020/06/05 9:22:16 AM EET,ARPA Lazio,42,Auto/Moto/Scooter/Ciclomotore,12,0,0,0,Benzina
2020/06/05 9:22:18 AM EET,ARPA Veneto,50,Mezzi pubblici (autobus/tram/treno...),0,12,0,2,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:22:21 AM EET,ARPAE Emilia-Romagna,54,Mezzi pubblici (autobus/tram/treno...),0,10,0,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:22:30 AM EET,ARPA Veneto,52,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:22:33 AM EET,ARPA Sardegna,61,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:22:36 AM EET,ARPA Veneto,56,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:22:45 AM EET,ARPA Marche,51,Auto/Moto/Scooter/Ciclomotore,60,0,0,0,Diesel
2020/06/05 9:22:49 AM EET,ARPA Lombardia,59,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Benzina
2020/06/05 9:22:55 AM EET,APPA Bolzano,10,Bicicletta/monopattino,0,0,4,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:23:08 AM EET,ARPA Liguria,49,Auto/Moto/Scooter/Ciclomotore,40,0,0,0,Diesel
2020/06/05 9:23:11 AM EET,ISPRA,55,Auto/Moto/Scooter/Ciclomotore,18,0,0,0,Benzina
2020/06/05 9:23:16 AM EET,ARPA Veneto,49,Auto/Moto/Scooter/Ciclomotore,5,0,0,0,Benzina
2020/06/05 9:23:18 AM EET,ARPA Veneto,45,Auto/Moto/Scooter/Ciclomotore,120,0,0,0,Benzina
2020/06/05 9:23:19 AM EET,ARPA Piemonte,54,Auto/Moto/Scooter/Ciclomotore,11.4,0,0,0,Diesel
2020/06/05 9:23:27 AM EET,ARPA Molise,41,Auto/Moto/Scooter/Ciclomotore,75,0,0,0,Diesel
2020/06/05 9:23:29 AM EET,ARPA Calabria,43,Auto/Moto/Scooter/Ciclomotore,60,0,0,0,Diesel
2020/06/05 9:23:29 AM EET,ARPA Piemonte,41,Auto/Moto/Scooter/Ciclomotore,60,0,0,0,Diesel
2020/06/05 9:23:35 AM EET,ARPA Friuli Venezia-Giulia,23,Auto/Moto/Scooter/Ciclomotore,70,0,0,0,Diesel
2020/06/05 9:23:40 AM EET,ARPA Veneto,66,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:23:44 AM EET,ARPA Friuli Venezia-Giulia,43,Auto/Moto/Scooter/Ciclomotore,9,0,0,0,Benzina
2020/06/05 9:23:49 AM EET,ARPAT Toscana,63,Bicicletta/monopattino,0,0,8,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:23:51 AM EET,ARPA Valle d'Aosta,43,Auto/Moto/Scooter/Ciclomotore,14.6,0,0,0,Diesel
2020/06/05 9:23:56 AM EET,ARPA Veneto,5,A piedi,0,0,0,3,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:24:02 AM EET,APPA Bolzano,40,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:24:04 AM EET,ARPA Lombardia,44,Auto/Moto/Scooter/Ciclomotore,50,0,0,0,Diesel
2020/06/05 9:24:07 AM EET,ARPAT Toscana,20,Auto/Moto/Scooter/Ciclomotore,12,0,0,0,Benzina
2020/06/05 9:24:10 AM EET,ISPRA,90,Auto/Moto/Scooter/Ciclomotore,6,0,0,0,Benzina
2020/06/05 9:24:11 AM EET,ARPA Piemonte,37,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 9:24:28 AM EET,ARPA Piemonte,26,Bicicletta/monopattino,,,,,
2020/06/05 9:24:31 AM EET,ARPA Lombardia,92,Mezzi pubblici (autobus/tram/treno...),0,5,0,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:24:45 AM EET,ARPAE Emilia-Romagna,53,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:24:50 AM EET,ARPAE Emilia-Romagna,30,Auto/Moto/Scooter/Ciclomotore,120,0,0,0,Diesel
2020/06/05 9:25:14 AM EET,ARPAE Emilia-Romagna,2,Auto/Moto/Scooter/Ciclomotore,25,0,0,0,Benzina
2020/06/05 9:25:34 AM EET,ISPRA,60,Auto/Moto/Scooter/Ciclomotore,34,0,0,2,Diesel
2020/06/05 9:25:34 AM EET,ARPA Umbria,17,Auto/Moto/Scooter/Ciclomotore,90,0,0,0,GPL
2020/06/05 9:25:34 AM EET,ARPA Veneto,46,A piedi,0,0,0,5,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:25:44 AM EET,ARPA Piemonte,26,Bicicletta/monopattino,,,,,
2020/06/05 9:25:59 AM EET,ARPA Veneto,45,Auto/Moto/Scooter/Ciclomotore,32,0,0,0,Benzina
2020/06/05 9:26:01 AM EET,ARPA Piemonte,49,Auto/Moto/Scooter/Ciclomotore,60,0,0,0,Benzina
2020/06/05 9:26:05 AM EET,ARPA Friuli Venezia-Giulia,55,Auto/Moto/Scooter/Ciclomotore,5,0,0,0,Diesel
2020/06/05 9:26:12 AM EET,ARPA Lombardia,50,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 9:26:14 AM EET,ISPRA,62,Mezzi pubblici (autobus/tram/treno...),10,80,0,0,Benzina
2020/06/05 9:26:15 AM EET,ARPA Veneto,39,Auto/Moto/Scooter/Ciclomotore,9,0,0,0,Benzina
2020/06/05 9:26:16 AM EET,ARPA Lombardia,60,Mezzi pubblici (autobus/tram/treno...),0,50,0,10,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:26:47 AM EET,ARPA Veneto,38,Auto/Moto/Scooter/Ciclomotore,54,0,0,0,Diesel
2020/06/05 9:26:52 AM EET,ARPA Marche,54,Auto/Moto/Scooter/Ciclomotore,6,0,1,0,Benzina
2020/06/05 9:26:55 AM EET,ARPA Lombardia,30,Auto/Moto/Scooter/Ciclomotore,9,0,0,0,Benzina
2020/06/05 9:26:57 AM EET,APPA Trento,38,estate moto - inverno mezzi pubblici,40,40,0,1,Benzina
2020/06/05 9:27:05 AM EET,ARPA Lombardia,30,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:27:27 AM EET,ARPAE Emilia-Romagna,70,Bicicletta/monopattino,0,0,4,0,Benzina
2020/06/05 9:27:33 AM EET,ARPA Lombardia,5,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 9:27:34 AM EET,ARPA Veneto,39,Auto/Moto/Scooter/Ciclomotore,12,0,0,0,GPL
2020/06/05 9:27:37 AM EET,ARPA Veneto,90,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Diesel
2020/06/05 9:28:00 AM EET,APPA Bolzano,52,Bicicletta/monopattino,0,0,2,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:28:07 AM EET,ARPA Marche,53,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,GPL
2020/06/05 9:28:07 AM EET,ARPAE Emilia-Romagna,60,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:28:09 AM EET,ARPAE Emilia-Romagna,57,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,GPL
2020/06/05 9:28:14 AM EET,ISPRA,64,Mezzi pubblici (autobus/tram/treno...),0,470,0,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:28:26 AM EET,ISPRA,55,Auto/Moto/Scooter/Ciclomotore,25,0,0,0,Diesel
2020/06/05 9:28:34 AM EET,ARPAE Emilia-Romagna,60,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:28:50 AM EET,ARPA Lombardia,55,Auto/Moto/Scooter/Ciclomotore,35,0,0,0,Benzina
2020/06/05 9:28:54 AM EET,ARPAE Emilia-Romagna,4,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Benzina
2020/06/05 9:28:59 AM EET,ISPRA,41,Auto/Moto/Scooter/Ciclomotore,25,0,0,0,Benzina
2020/06/05 9:29:03 AM EET,ARPA Veneto,26,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 9:29:03 AM EET,ARPA Veneto,11,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Benzina
2020/06/05 9:29:04 AM EET,ARPA Puglia,42,Bicicletta/monopattino,0,0,4,0,NON USO QUESTA MODALITA' DI SPOSTAMENTO
2020/06/05 9:29:07 AM EET,ARPA Calabria,60,Auto/Moto/Scooter/Ciclomotore,25,0,0,0,Diesel
